name,voorletter,firstname,party,residence,age,gender,seniority
            Klink, J.J. ,            Jan,            VVD,            Loosdrecht,37,            Male,            4680 days
            Koekkoek, M. ,            Marieke,            Volt,            Utrecht,33,            Female,            1924 days
            Kops, A. ,            Alexander,            PVV,            Overasselt,37,            Male,            455 days
            Kröger, S.C. ,            Suzanne,            GL,            Amsterdam,46,            Female,            5578 days
            Kuzu, T. ,            Tunahan,            DENK,            Rotterdam,41,            Male,            1924 days
            Laan, J.M.P. van der,            Jeanet,            D66,            Lisse,42,            Female,            1924 days
            Leijten, R.M. ,            Renske,            SP,            Haarlem,43,            Female,            455 days
            Madlener, B. ,            Barry,            PVV,            Rockanje,53,            Male,            1812 days
            Marijnissen, L.M.C. ,            Lilian,            SP,            Oss,36,            Female,            1924 days
            Meenen, P.H. van,            Paul,            D66,            Leiden,66,            Male,            455 days
            Michon-Derkzen, I.J.M. ,            Ingrid,            VVD,            's-Gravenhage,45,            Female,            455 days
            Mohandis, M. ,            Mohammed,            PvdA,            Gouda,37,            Male,            1700 days
            Mulder, A.H. ,            Agnes,            CDA,            Assen,48,            Female,            1924 days
            Mutluer, S. ,            Songül,            PvdA,            Zaandam,42,            Female,            455 days
            Nijboer, H. ,            Henk,            PvdA,            Groningen,39,            Male,            3010 days
            Omtzigt, P.H. ,            Pieter,            Omtzigt,            Enschede,48,            Male,            5354 days
            Palland, H.M. ,            Hilde,            CDA,            Kampen,42,            Female,            1924 days
            Paul, M.L.J. ,            Mariëlle,            VVD,            Amsterdam,55,            Female,            440 days
            Peters, W.P.H.J. ,            René,            CDA,            Oss,46,            Male,            455 days
            Plas, C.A.M. van der,            Caroline,            BBB,            Deventer,55,            Female,            295 days
            Raan, L. van,            Lammert,            PvdD,            Amsterdam,60,            Male,            1700 days
            Rahimi, H. ,            Hawre,            VVD,            Weesp,43,            Male,            455 days
            Roon, R. de,            Raymond,            PVV,            Aardenburg,69,            Male,            245 days
            Segers, G.J.M. ,            Gert-Jan,            CU,            Amersfoort,52,            Male,            99 days
            Simons, S.H. ,            Sylvana,            BIJ1,            Duivendrecht,51,            Female,            3569 days
            Slootweg, E.J. ,            Evert Jan,            CDA,            Bennekom,53,            Male,            930 days
            Smolders, H.A.J. ,            Hans,            Groep Van Haga,            Tilburg,61,            Male,            1702 days
            Staaij, C.G. van der,            Kees,            SGP,            Benthuizen,53,            Male,            1540 days
            Strien, P.J.T. van,            Pim,            VVD,            Haarlem,45,            Male,            295 days
            Teunissen, C. ,            Christine,            PvdD,            's-Gravenhage,36,            Female,            455 days
            Tielen, J.Z.C.M. ,            Judith,            VVD,            Utrecht,50,            Female,            455 days
            Verkuijlen, R. ,            Ruud,            VVD,            Hilversum,61,            Male,            455 days
            Wassenberg, F.P. ,            Frank,            PvdD,            Geleen,56,            Male,            1924 days
            Werf, J.J. van der,            Hanneke,            D66,            Voorburg,37,            Female,            455 days
            Westerveld, E.M. ,            Lisa,            GL,            Nijmegen,40,            Female,            3431 days
            Wijngaarden, J. van,            Jeroen,            VVD,            Amsterdam,44,            Male,            8645 days
            Woude, H.H. van der,            Hatte,            VVD,            Delft,52,            Female,            455 days
